t;Extract;Cext;Cag;Rt;A_405;A_450;A_492;A_630
0;B;0.7;5;40;0.304;0.786;0.86;0.913
0;B;0.7;1;100;0.261;0.366;0.37;0.372
0;B;0.7;2;100;0.352;0.487;0.494;0.499
0;B;0.7;3;100;0.351;0.681;0.752;0.786
0;B;0.7;4;100;0.672;1.237;1.4;1.463
0;B;0.7;5;100;0.366;0.985;1.214;1.339
0;B;0.7;1;100;0.316;0.414;0.414;0.418
0;B;0.7;2;100;0.29;0.439;0.449;0.465
0;B;0.7;3;100;0.433;0.77;0.83;0.879
0;B;0.7;4;100;0.395;0.835;0.975;1.074
0;B;0.7;5;100;0.449;1.06;1.286;1.427
10;B;0.7;1;10;0.261;0.289;0.307;0.308
10;B;0.7;2;10;0.345;0.375;0.391;0.397
10;B;0.7;3;10;0.402;0.43;0.436;0.442
10;B;0.7;4;10;0.396;0.441;0.449;0.452
10;B;0.7;5;10;0.496;0.518;0.528;0.532
10;B;0.7;1;10;0.31;0.339;0.354;0.356
10;B;0.7;2;10;0.352;0.401;0.412;0.42
10;B;0.7;3;10;0.442;0.486;0.486;0.489
10;B;0.7;4;10;0.458;0.502;0.515;0.514
10;B;0.7;5;10;0.452;0.499;0.512;0.516
10;B;0.7;1;80;0.381;0.388;0.462;0.467
10;B;0.7;2;80;0.551;0.634;0.739;0.742
10;B;0.7;3;80;0.984;1.184;1.315;0.138
10;B;0.7;4;80;1.311;1.633;1.69;1.704
10;B;0.7;5;80;1.339;1.639;1.656;1.665
10;B;0.7;1;80;0.404;0.408;0.487;0.493
10;B;0.7;2;80;0.693;0.758;0.874;0.881
10;B;0.7;3;80;0.975;1.172;1.172;1.177
10;B;0.7;4;80;1.3;1.603;1.65;1.666
10;B;0.7;5;80;1.476;1.802;1.837;1.855
10;B;0.7;1;40;0.356;0.389;0.388;0.385
10;B;0.7;2;40;0.877;0.913;0.922;0.923
10;B;0.7;3;40;1.071;1.083;1.089;1.085
10;B;0.7;4;40;1.07;1.069;1.075;1.07
10;B;0.7;5;40;1.195;1.208;1.21;1.218
10;B;0.7;1;40;0.313;0.366;0.365;0.368
10;B;0.7;2;40;0.844;0.865;0.881;0.898
10;B;0.7;3;40;1.022;1.019;1.028;1.032
10;B;0.7;4;40;1.085;1.082;1.097;1.099
10;B;0.7;5;40;1.049;1.05;1.059;0.063
10;B;0.7;1;100;0.383;0.458;0.458;0.459
10;B;0.7;2;100;0.52;0.618;0.631;0.641
10;B;0.7;3;100;0.693;1.055;1.067;1.085
10;B;0.7;4;100;1.806;1.839;1.84;1.854
10;B;0.7;5;100;1.751;1.804;1.82;1.838
10;B;0.7;1;100;0.426;0.504;0.501;0.501
10;B;0.7;2;100;0.498;0.595;0.603;0.6
10;B;0.7;3;100;1.058;1.181;1.191;1.231
10;B;0.7;4;100;1.42;1.515;1.54;1.561
10;B;0.7;5;100;1.833;1.891;1.915;1.951
20;B;0.7;1;10;0.289;0.307;0.308;0.305
20;B;0.7;2;10;0.375;0.391;0.397;0.399
20;B;0.7;3;10;0.43;0.436;0.442;0.445
20;B;0.7;4;10;0.441;0.449;0.452;0.451
20;B;0.7;5;10;0.518;0.528;0.532;0.527
20;B;0.7;1;10;0.339;0.354;0.356;0.356
20;B;0.7;2;10;0.401;0.412;0.42;0.426
20;B;0.7;3;10;0.486;0.486;0.489;0.497
20;B;0.7;4;10;0.502;0.515;0.514;0.517
20;B;0.7;5;10;0.499;0.512;0.516;0.507
20;B;0.7;1;80;0.388;0.462;0.467;0.461
20;B;0.7;2;80;0.634;0.739;0.742;0.745
20;B;0.7;3;80;1.184;1.315;1.318;1.31
20;B;0.7;4;80;1.633;1.69;1.704;1.724
20;B;0.7;5;80;1.639;1.656;1.665;1.672
20;B;0.7;1;80;0.408;0.487;0.493;0.493
20;B;0.7;2;80;0.758;0.874;0.881;0.883
20;B;0.7;3;80;1.172;1.172;1.177;1.177
20;B;0.7;4;80;1.603;1.65;1.666;1.673
20;B;0.7;5;80;1.802;1.837;1.855;1.858
20;B;0.7;1;40;0.356;0.389;0.388;0.385
20;B;0.7;2;40;0.877;0.913;0.922;0.923
